"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 3","text-lg","text-2xs","whitespace-pre-wrap","whitespace-pre-wrap 2","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 6","text-lg 2","text-2xs 3","text-2xs 4","relative src 2","whitespace-pre-wrap 3","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 8","text-lg 3","text-2xs 5","whitespace-pre-wrap 4","whitespace-pre-wrap 5","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 6","text-xs 9","text-lg 4","text-2xs 7","whitespace-pre-wrap 6"
"","https://www.carrefouruae.com/mafuae/en/olives/olives-green-stufed-red-pep/p/1096533","https://cdn.mafrservices.com/sys-master-root/h1e/h5d/50791485210654/1096533_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/olives-green-stufed-red-pep/p/1096533","Red Pepper-Stuffed Green Olive","200g - Approx 5 pieces/KG","10",".10","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/tulkarem-smoke-chick-mort-extra/p/1877105","https://cdn.mafrservices.com/sys-master-root/hec/hed/33683142311966/1877105_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/tulkarem-smoke-chick-mort-extra/p/1877105","Tulkarem Extra Smoked Chicken Mortadella","200g - Approx 67 pieces/KG","7",".10","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/antipasti/renna-s-peppers-zefirino-stuffed-w-/p/1083927","https://cdn.mafrservices.com/pim-content/UAE/media/product/1083927/1750083003/1083927_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/antipasti/renna-s-peppers-zefirino-stuffed-w-/p/1083927","Renna Small Zefirino Peppers Stuffed With Cheese","100g - Approx 10 pieces/KG","20",".90","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/turkey/siniora-mort-turk-smok-olives/p/1264668","https://cdn.mafrservices.com/sys-master-root/h75/h6a/28431528787998/1264668_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/turkey/siniora-mort-turk-smok-olives/p/1264668","Siniora Smoked Turkey Mortadella with Olives","300g - Approx 33 pieces/KG","11",".85",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadella-200gx2/p/1358703","https://cdn.mafrservices.com/sys-master-root/h35/h18/63957488467998/1358703_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadelle-mexican-200g/p/1350798","Carrefour Mexican Chicken Mortadella, 200g","AED 26.45 per Kilo","5",".29","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/tulkarem-smoke-beef-mort-pepper/p/1877045","https://cdn.mafrservices.com/sys-master-root/hbc/hf4/33683142115358/1877045_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/turkey/tulkarem-smoke-turkey-mort-plain/p/1877041","Tulkarem Smoked Plain Turkey Mortadella","200g - Approx 67 pieces/KG","7",".10","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/turkey/tulkarem-smoke-turkey-mort-plain/p/1877041","https://cdn.mafrservices.com/sys-master-root/hc6/he7/33682977161246/1877041_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/tulkarem-smoke-beef-mort-pepper/p/1877045","Tulkarem Smoked Pepper Beef Mortadella","200g - Approx 67 pieces/KG","7",".10","Only 3 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadelle-mexican-200g/p/1350798","https://cdn.mafrservices.com/pim-content/UAE/media/product/1350798/1752202803/1350798_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadella-200gx2/p/1358703","Carrefour Beef Mortadella Plain 200g Pack of 2","AED 43.22 per Kilo","17",".29",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/beef/mort-edge/p/67520","https://cdn.mafrservices.com/sys-master-root/hb7/hca/14623290195998/67520_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/mort-edge/p/67520","Mortadella Edge","250g - Approx 22 pieces/KG","7",".22","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/tulkarem-smoke-beef-mort-olive-pepr/p/1877047","https://cdn.mafrservices.com/sys-master-root/hfd/hf0/33683142246430/1877047_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/tulkarem-smoke-beef-mort-olive-pepr/p/1877047","Tulkarem Smoked Pepper Beef Mortadella with Olives","200g - Approx 67 pieces/KG","7",".10","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/olives/green-olives-zaatar-jordan-750g/p/1256862","https://cdn.mafrservices.com/pim-content/UAE/media/product/1256862/1726308603/1256862_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/green-olives-zaatar-jordan-750g/p/1256862","Green Olives With Zaatar 750g","200g - Approx 5 pieces/KG","21",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/olives/olives-green-stufed-h-pepper/p/1117448","https://cdn.mafrservices.com/sys-master-root/h45/h64/50791485440030/1117448_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/olives-green-stufed-h-pepper/p/1117448","Hot Pepper-Stuffed Green Olives","","10",".10",""
"","https://www.carrefouruae.com/mafuae/en/antipasti/renna-antipasto-italia/p/1083919","https://cdn.mafrservices.com/pim-content/UAE/media/product/1083919/1750083003/1083919_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-six-gun-chilli-80g/p/2260414","Lekker Biltong Six Gun Chilli 80g","200g - Approx 7 pieces/KG","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-chick-olive-500g/p/1311786","https://cdn.mafrservices.com/sys-master-root/hc3/h17/28431535177758/1311786_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/antipasti/renna-antipasto-italia/p/1083919","Renna Antipasto Italia","AED 40.98 per Kilo","25",".80","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sweet-and-spicy-80g/p/2260420","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260420/1759383004/2260420_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sweet-and-spicy-80g/p/2260420","Lekker Biltong Sweet And Spicy 80g","","22",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-six-gun-chilli-80g/p/2260414","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260414/1759383004/2260414_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-chick-olive-500g/p/1311786","Siniora Chicken Mortadella with Olives 500g","","20",".49",""
"","https://www.carrefouruae.com/mafuae/en/salamis/tulkarem-beef-salami-kg/p/1877113","https://cdn.mafrservices.com/pim-content/UAE/media/product/1877113/1739425044/1877113_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/salamis/tulkarem-beef-salami-kg/p/1877113","Tulkarem Beef Salami","500g - Approx 2 pieces/KG","39",".25","Only 2 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sticks-dynamite-80g/p/2260407","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260407/1759383004/2260407_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-mex-250g/p/1450346","Carrefour Mexican Chicken Mortadella Roll 250g","AED 25.16 per Kilo","6",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/turkey/tulkarem-smoke-turkey-mort-pepper/p/1877042","https://cdn.mafrservices.com/sys-master-root/h33/h95/33682976800798/1877042_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/turkey/tulkarem-smoke-turkey-mort-pepper/p/1877042","Tulkarem Smoked Pepper Turkey Mortadella","200g - Approx 67 pieces/KG","7",".10","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-mex-250g/p/1450346","https://cdn.mafrservices.com/sys-master-root/h83/hc1/46641022894110/1450346_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sticks-dynamite-80g/p/2260407","Lekker Biltong Sticks Dynamite 80g","","22",".49",""
"","https://www.carrefouruae.com/mafuae/en/pickles/palestine-pearl-spicy-salad-700g/p/1609916","https://cdn.mafrservices.com/pim-content/UAE/media/product/1609916/1724847004/1609916_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/palestine-pearl-spicy-salad-700g/p/1609916","Palestinian Pearl Spicy Salad 700g","AED 36.41 per Kilo","25",".49","Tod. 12:00 PM","Only 2 left","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/salami-dried-beef-200g/p/1199127","https://cdn.mafrservices.com/sys-master-root/h05/h43/11086067531806/1199127_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/salami-dried-beef-200g/p/1199127","Salami Dried Beef 200g","700g - Approx 1 piece/KG","65",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/olives/palestinian-pearls-spicy-salad/p/1220349","https://cdn.mafrservices.com/pim-content/UAE/media/product/1220349/1761107680/1220349_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/palestinian-pearls-spicy-salad/p/1220349","Palestinian Spicy Pearls Salad","","25",".89","Only 2 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/classic-biltong-80g/p/2262053","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262053/1760520006/2262053_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/classic-biltong-80g/p/2262053","Kvik Dried Beef Classic Biltong 80g","","22",".49","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/eurogourmet-veal-breakfast/p/2245123","https://cdn.mafrservices.com/pim-content/UAE/media/product/2245123/1756209004/2245123_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sticks-traditional-80g/p/2260418","Lekker Biltong Sticks Traditional 80g","AED 40.98 per Kilo","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadelle-plain-200g/p/1350801","https://cdn.mafrservices.com/pim-content/UAE/media/product/1350801/1752202803/1350801_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-beef-pistachio-500g/p/1311784","Siniora Beef Mortadella with Pistachios 500g","250g - Approx 4 pieces/KG","20",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 3 left","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-beef-pistachio-500g/p/1311784","https://cdn.mafrservices.com/sys-master-root/h2b/h1b/28431535079454/1311784_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/eurogourmet-veal-breakfast/p/2245123","Euro Gourmet  Veal Breakfast","AED 29.95 per Kilo","31",".25","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sticks-traditional-80g/p/2260418","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260418/1759383004/2260418_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadelle-plain-200g/p/1350801","Carrefour Plain Chicken Mortadella, 200g","","5",".99",""
"","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/eurogourmet-chicken-shape-olive/p/2245124","https://cdn.mafrservices.com/pim-content/UAE/media/product/2245124/1756209004/2245124_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-smokey-barbeque-80g/p/2260405","Lekker Biltong Smokey Barbeque 80g","250g - Approx 4 pieces/KG","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/eurogourmet-chicken-shape-pepper/p/2245144","https://cdn.mafrservices.com/pim-content/UAE/media/product/2245144/1756209004/2245144_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-garlic-barbeque-80g/p/2260408","Lekker Biltong Garlic Barbeque 80g","250g - Approx 4 pieces/KG","22",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 3 left","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-garlic-barbeque-80g/p/2260408","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260408/1759383004/2260408_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/eurogourmet-chicken-shape-olive/p/2245124","Euro Gourmet  Chicken Shape With Olives","","22",".62","Tod. 12:00 PM","Only 3 left","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-smokey-barbeque-80g/p/2260405","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260405/1759383004/2260405_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/eurogourmet-chicken-shape-pepper/p/2245144","Euro Gourmet  Chicken Shape With Peppers","","22",".62","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sticks-chilli-80g/p/2260422","Lekker Biltong Sticks Chilli 80g","AED 362.38 per Kilo","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/crf-smoked-salmon-norway-80g/p/1010377","Carrefour Salmon Norway 80g","","28",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-steers-chilli-80g/p/2260415","Lekker Biltong Steers Chilli 80g","","22",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sticks-chilli-80g/p/2260422","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260422/1759383004/2260422_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-leaves-chilli-80g/p/2260416","Lekker Biltong Leaves Chilli 80g","","22",".49",""
"","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-steers-traditional-80g/p/2260413","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260413/1759383004/2260413_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-six-gun-80g/p/2260419","Lekker Biltong Six Gun 80g","","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/droewors-traditional-80g/p/2260417","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260417/1759383004/2260417_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sosatie-flava-80g/p/2260406","Lekker Biltong Sosatie Flava 80g","","22",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-sosatie-flava-80g/p/2260406","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260406/1759383004/2260406_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/droewors-traditional-80g/p/2260417","Lekker Droewors Traditional 80g","","22",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-six-gun-80g/p/2260419","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260419/1759383004/2260419_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-steers-traditional-80g/p/2260413","Lekker Biltong Steers Traditional 80g","","22",".49",""
"","https://www.carrefouruae.com/mafuae/en/dry-meat/siniora-basturma-egyptian/p/1582172","https://cdn.mafrservices.com/sys-master-root/h73/h44/14623056330782/1582172_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/siniora-basturma-egyptian/p/1582172","Siniora Egyptian-Style Basturma","250g - Approx 15 pieces/KG","24",".32","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/chilli-bites-80g/p/2262051","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262051/1760520006/2262051_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dressing/crf-anchovy-with-capres-100g/p/1009957","Carrefour Anchois Fillets With Capres 100g","AED 179.90 per Kilo","17",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-soul-fire-80g/p/2260411","https://cdn.mafrservices.com/pim-content/UAE/media/product/2260411/1759383004/2260411_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/biltong-soul-fire-80g/p/2260411","Lekker Biltong Soul Fire 80g","","22",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/dressing/crf-anchovy-with-capres-100g/p/1009957","https://cdn.mafrservices.com/sys-master-root/hce/he4/12659145441310/1009957_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/chilli-bites-80g/p/2262051","Kvik Dried Beef Chilli Bytes Biltong 80g","","22",".49",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/turkey/sin-sm-tur-brst-slice-economy-500g/p/1808915","Siniora Smoked Turkey Breast Slice Economy Pack, 500g","AED 51.98 per Kilo","25",".99","Tod. 12:00 PM","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/eurogourmet-smoked-beef-pastrami/p/2245135","Euro Gourmet  Smoked Beef Pastrami","250g - Approx 4 pieces/KG","31",".25","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/dry-meat/beef-cabanossi-80g/p/2260412","Lekker Beef Cabanossi 80g","AED 64.95 per Kilo","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/senora-smoked-beef-bacon-220g/p/1552338","Freshly Foods Senora Gourmet Smoked Beef Bacon, 220g","","14",".29",""
"BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/sea-foods/atlantic-smoked-salmon-100g/p/1151581","Fsh. Atlantic Smoked Salmon, 100g","AED 224.90 per Kilo","22",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-plain-500g/p/1450350","Carrefour Plain Beef Mortadella Roll, 500g","AED 31.98 per Kilo","15",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/beef/zester-beef-mortadella/p/2241489","Zester Beef Mortadella","250g - Approx 4 pieces/KG","6",".25","Tod. 12:00 PM","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/chicken/zester-chicken-mortadella/p/2241666","Zester Chicken Mortadella","250g - Approx 4 pieces/KG","10",".12","Tod. 12:00 PM"
"BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/sea-foods/salmontini-smok-norway-salmon-100g/p/1298743","Le Fumoir Norwegian Smoked Salmon Fish, 100g","AED 262.90 per Kilo","26",".29","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/siniora-chicken-breakfast-sausage/p/1787064","Siniora Plain Chicken Breakfast Sausage, 300g","AED 204.90 per Kilo","15",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/caviar-c-atlantic-smkd-salmon-100g/p/12390","Caviar Classic Atlantic Smoked Salmon 100g","AED 173.83 per Kilo","20",".49","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/sea-foods/salmontini-light-smoked-salmon-180g/p/1540156","Salmontini Light Smoked Salmon 180g","","31",".29",""
"","","","https://www.carrefouruae.com/mafuae/en/turkey/siniora-smoked-turkey-breast-200g/p/1787060","Siniora Smoked Turkey Breast, 200g","AED 116.45 per Kilo","23",".29","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/turkey/prime-smoked-turkey-breast-lf-500g/p/1185354","Prime Low Fat Smoked Turkey Breast, 500g","AED 85.98 per Kilo","42",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/turkey/senora-smoked-turkey-200g/p/1552340","Freshly Foods Senora Gourmet Smoked Turkey, 200g","AED 83.95 per Kilo","16",".79","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/turkey/prime-smoked-turkey-breast-250g/p/12208","Prime Plain Smoked Turkey Breast, 250g","AED 89.96 per Kilo","22",".49",""
"","","","https://www.carrefouruae.com/mafuae/en/beef/prime-beef-pepperoni-slice-500g/p/1878666","Prime Beef Pepperoni Slices, 500g","AED 53.58 per Kilo","26",".79","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/siniora-beef-sausage-500g/p/1808914","Siniora Plain Beef Sausage 500g","AED 39.98 per Kilo","19",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/namet-heat-treated-coil-soujouk225g/p/1453173","Namet Beef Soujouk, 225g","AED 166.62 per Kilo","37",".49","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chicken/prime-chicken-breast-250g/p/308375","Prime Smoked Chicken Breast Slices, 250g","AED 71.16 per Kilo","17",".79",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/sea-foods/caviar-clasic-land-smoked-salmon80g/p/1839696","Caviar Classic Land Smoked Salmon, 80g","AED 206.12 per Kilo","16",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/rigamonti-bresaola-vaschetta-70g/p/1169318","Rigamonti Bresaola Vaschetta 70g","AED 639.86 per Kilo","44",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/senora-chicken-cheese-sausage-240g/p/1258914","Freshly Foods Senora Chicken and Cheese Sausage, 240g","AED 44.96 per Kilo","10",".79","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/turkey/namet-smoked-turkey-breast-60g/p/1453179","Namet Smoked Turkey Breast, 60g","AED 221.50 per Kilo","13",".29",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/sea-foods/salmontini-scottish-smoked-salmon-1/p/1092675","Le Fumoir Scottish Smoked Salmon Fish, 100g","AED 116.45 per Kilo","51",".79","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/siniora-beef-pepperoni-200g/p/1808912","Siniora Beef Pepperoni 200g","AED 49.96 per Kilo","23",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/prime-beef-salami-smoked-250g/p/12071","Prime Smoked Beef Salami Slices, 250g","AED 687.90 per Kilo","12",".49","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/sea-foods/caviar-c-salmon-trout-caviar-100g/p/93111","Salmon Trout Caviar 100g","","68",".79",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken/senora-jumbo-spicy-chkn-240g/p/1258916","Freshly Foods Senora Jumbo Spicy Chicken Sausage, 240g","AED 44.96 per Kilo","10",".79","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/rigamonti-carpaccio-di-manzo-90g/p/1169319","Rigamonti Carpaccio Di Bresaola 90g","AED 366.56 per Kilo","32",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/peanut-salted-dc/p/2297114","Peanut Salted","1KG - Pack size 1 Kg","16",".99","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/dry-meat/siniora-basturma-lebanese/p/1582173","Siniora Lebanese-Style Basturma","250g - Approx 15 pieces/KG","24",".32",""
"","","","https://www.carrefouruae.com/mafuae/en/pickles/cornichon-pickles/p/2242903","Cornichon Pickles","250g - Approx 4 pieces/KG","5",".12","Only 1 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/sin-smkd-turky-bf-strips-200g/p/2265003","Siniora Signature Smoked Turkey Breakfast Strips, 200g","AED 83.95 per Kilo","16",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/khazan-beef-peperoni-slice-20x150g/p/12086","Khazan Beef Pepperoni 150g","AED 63.16 per Kilo","15",".79","Tod. 12:00 PM","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/sea-foods/salmontini-organic-salmon-100g/p/1358943","Le Fumoir Organic Smoked Salmon Fish, 100g","AED 489.90 per Kilo","48",".99","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/turkey/prime-smoked-turkey-breast-500g/p/1878664","Prime Plain Smoked Turkey Breast, 500g","AED 85.98 per Kilo","42",".99","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/siniora-beef-mortadella-plain-200g/p/1787061","Siniora Plain Beef Mortadella 200g","AED 53.95 per Kilo","10",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/senora-beef-sausage-240g/p/1258912","Freshly Foods Senora Beef Sausage, 240g","AED 70.79 per Kilo","16",".99","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/turkey/prime-smoked-turkey-brst-plain-500g/p/1185353","Prime Plain Smoked Turkey Breast, 500g","AED 88.58 per Kilo","44",".29",""
